Time (seconds),Value
3.63,40.66
3.81,62.62
3.97,77.68
4.13,81.57
4.3,83.12
4.46,81.3
4.62,84.18
4.78,85.47
4.97,85.78
5.13,84.95
5.3,85.07
5.46,84.82
5.63,85.1
5.81,86.45
5.99,85.72
6.17,85.07
6.37,84.9
6.53,85.09
6.7,85.54
6.86,84.95
7.03,84.9
7.19,85.02
7.41,85.85
7.59,86.24
7.77,85.5
7.94,83.94
8.11,84.64
8.27,85.23
8.45,84.82
8.62,85.22
8.79,85.27
8.95,85.43
9.17,85.13
9.33,85.3
9.5,85.31
9.67,85.36
9.84,85.32
10.02,85.23
10.19,85.29
10.36,85.2
10.53,85.23
10.7,85.26
10.88,85.15
11.05,85.24
11.21,85.23
11.38,85.31
11.55,85.22
11.72,85.29
11.9,85.26
12.07,85.21
12.24,85.42
12.4,85.18
12.56,85.3
12.72,85.16
12.92,85.43
13.1,85.21
13.27,85.25
13.44,85.17
13.61,85.34
13.82,85.36
13.99,85.37
14.15,85.23
14.32,85.2
14.48,85.3
14.66,85.3
14.82,85.3
14.99,85.28
15.15,85.14
15.31,85.29
15.48,85.24
15.66,85.19
15.83,85.34
15.99,85.15
16.16,85.34
17.38,85.25
17.57,85.25
17.74,85.26
17.92,85.22
18.11,85.1
18.29,85.23
18.46,85.14
18.7,85.31
18.98,85.25
19.17,85.27
19.34,85.2
19.5,85.44
19.7,85.05
19.87,85.37
20.04,85.3
20.21,85.1
20.39,84.74
20.56,85.4
20.73,85.56
20.91,85.66
21.07,85.41
21.27,85.26
21.43,86.84
21.6,84.93
21.77,83.92
21.94,84.17
22.14,89.55
22.31,84.63
22.47,80.12
22.64,90.05
22.81,83.97
23.01,87.44
23.18,87.25
23.35,82.13
23.52,87.62
23.69,83.42
23.86,84.83
24.04,84.84
24.21,85.23
24.38,88.0
24.54,86.29
24.72,83.21
24.89,85.2
25.06,86.79
25.24,84.67
25.4,85.09
25.56,82.59
25.73,84.17
25.9,85.9
26.07,86.47
26.29,85.81
26.46,85.23
26.63,85.34
26.8,84.76
