time,force
0.14,834.7
0.3,834.7
0.46,1173.88
0.62,493.98
0.78,834.72
0.94,835.33
1.1,834.49
1.26,834.66
1.42,835.27
1.58,834.88
1.74,835.06
1.9,834.72
2.06,834.6
2.22,834.79
2.38,834.61
2.54,834.65
2.7,834.78
2.86,834.67
3.02,834.75
3.18,834.83
3.34,834.79
3.5,834.52
3.66,834.69
3.82,834.8
3.98,834.63
4.14,834.87
4.3,834.68
4.46,834.49
4.62,834.56
4.78,834.97
4.94,832.36
5.1,812.05
5.26,750.25
5.42,805.33
5.58,855.85
5.74,713.28
5.9,796.68
6.06,877.93
6.22,863.21
6.38,894.9
6.54,950.17
6.7,982.48
6.86,987.39
7.02,825.23
7.18,876.62
7.34,794.83
7.5,732.36
7.66,804.45
7.82,754.43
7.98,795.23
8.14,818.69
8.3,837.49
8.46,835.86
8.62,836.02
8.78,834.06
8.94,834.83
9.1,834.43
9.26,835.24
9.42,834.4
9.58,833.05
9.74,785.53
9.9,705.24
10.06,712.27
10.22,926.91
10.38,772.03
10.54,849.12
10.7,896.26
10.86,908.74
11.02,1047.23
11.18,979.45
11.34,879.13
11.5,864.03
11.66,798.04
11.82,761.1
11.98,801.77
12.14,729.73
12.3,793.56
12.46,813.18
12.62,833.05
12.78,837.73
12.94,837.14
13.1,824.76
13.26,811.15
13.42,808.06
13.58,767.33
13.74,640.2
13.9,847.12
14.06,834.23
14.22,946.86
14.38,881.41
14.54,942.19
14.7,981.99
14.86,964.57
15.02,851.65
15.18,892.85
15.34,801.91
15.5,740.85
15.66,791.5
15.82,753.83
15.98,799.35
16.14,800.98
16.3,841.01
16.46,836.43
16.62,836.02
16.78,828.42
16.94,778.29
17.1,725.82
17.26,697.66
17.42,871.67
17.58,849.14
17.74,850.86
17.9,902.41
18.06,907.94
18.22,984.75
18.38,976.42
18.54,897.34
18.7,863.1
18.86,855.22
19.02,762.41
19.18,808.93
19.34,707.43
19.5,773.57
19.66,809.41
19.82,845.33
19.98,834.65
20.14,816.6
20.3,748.96
20.46,710.03
20.62,786.85
20.78,810.72
20.94,863.76
21.1,898.36
21.26,890.18
21.42,925.33
21.58,977.72
21.74,974.01
21.9,863.03
22.06,904.01
22.22,812.15
22.38,764.01
22.54,741.55
22.7,750.34
22.86,801.81
23.02,808.32
23.18,847.97
23.34,832.35
23.5,777.85
23.66,705.61
23.82,762.89
23.98,764.19
24.14,892.49
24.3,870.15
24.46,864.14
24.62,930.35
24.78,982.86
24.94,994.67
25.1,879.5
25.26,898.93
25.42,826.99
25.58,822.46
25.74,743.71
25.9,717.74
26.06,763.6
26.22,820.02
26.38,837.76
26.54,819.15
26.7,755.66
26.86,699.31
27.02,766.72
27.18,812.84
27.34,892.93
27.5,908.18
27.66,891.94
27.82,917.68
27.98,956.87
28.14,965.88
28.3,842.36
28.46,916.55
28.62,814.45
28.78,828.5
28.94,735.04
29.1,744.14
29.26,784.67
29.42,830.81
29.58,817
29.74,824.15
29.9,791.27
30.06,755.07
30.22,706.47
30.38,785.62
30.54,813.19
30.7,885.82
30.86,875.54
31.02,914.51
31.18,913.05
31.34,1033.16
31.5,941.61
31.66,901.27
31.82,853.04
31.98,891.49
32.14,741.16
32.3,717.33
32.46,759.72
32.62,774.46
32.78,802.69
32.94,842.64
33.1,825.93
33.26,810.04
33.42,739.7
33.58,707.54
33.74,799.59
33.9,871.05
34.06,837.84
34.22,893.74
34.38,823.91
34.54,912.25
34.7,903.23
34.86,1014.42
35.02,945.06
35.18,866.02
35.34,827.68
35.5,880.54
35.66,810.1
35.82,767.79
35.98,750.75
36.14,753.63
36.3,797.68
36.46,810.83
36.62,798.99
36.78,772.03
36.94,776.54
37.1,710.32
37.26,833.25
37.42,884.7
37.58,855.18
37.74,846.7
37.9,899.14
38.06,1001.35
38.22,1018.58
38.38,907.9
38.54,868.91
