time,force
0.14,827.83
0.3,1168.03
0.46,487.63
0.62,827.53
0.78,826.32
0.94,828.39
1.1,827.93
1.26,828.83
1.42,827.86
1.58,827.82
1.74,827.84
1.9,827.99
2.06,827.63
2.22,827.75
2.38,827.67
2.54,827.95
2.7,827.55
2.86,828.14
3.02,827.45
3.18,828.17
3.34,827.85
3.5,827.85
3.66,827.84
3.82,827.91
3.98,827.91
4.14,828.04
4.3,827.83
4.46,827.62
4.62,827.7
4.78,828.1
4.94,827.77
5.1,827.99
5.26,827.93
5.42,828.14
5.58,827.14
5.74,827.01
5.9,828.18
6.06,827.75
6.22,830.27
6.38,822.48
6.54,831.16
6.7,826.25
6.86,834.38
7.02,822.8
7.18,830.68
7.34,823.67
7.5,827.85
7.66,828.44
7.82,827.19
7.98,828.67
8.14,828.08
8.3,828.17
8.46,827.97
8.62,827.32
8.78,828.2
8.94,828.24
9.1,827.58
9.26,827.75
9.42,828.16
9.58,828.18
9.74,825.95
9.9,827.01
10.06,825.07
10.22,829.55
10.38,836.51
10.54,822.72
10.7,824.87
10.86,826.4
11.02,838.39
11.18,822.52
11.34,828.38
11.5,829.93
11.66,810.38
11.82,839.98
11.98,833.21
12.14,830.19
12.3,818.42
12.46,830.53
12.62,828.33
12.78,826.67
12.94,828.06
13.1,827.89
13.26,827.56
13.42,828.36
13.58,828.09
13.74,827.82
13.9,827.48
14.06,828.24
14.22,828.38
14.38,827.35
14.54,827.59
14.7,828.06
14.86,827.88
15.02,828.06
15.18,827.89
15.34,826.59
15.5,828.67
15.66,826.88
15.82,828.34
15.98,827.27
16.14,827.67
16.3,829.04
16.46,827.87
16.62,826.46
16.78,828.43
16.94,828.44
17.1,827.6
17.26,827.85
17.42,827.49
17.58,828.7
17.74,828.25
17.9,828.28
18.06,826.85
18.22,828.45
18.38,826.69
18.54,827.4
18.7,828.35
18.86,828.07
19.02,828.22
19.18,828.06
19.34,824.37
19.5,820.93
19.66,816.45
19.82,826.87
19.98,813.89
20.14,812.64
20.3,809.58
20.46,807.17
20.62,800.92
20.78,817.51
20.94,844.39
21.1,824.46
21.26,832.68
21.42,802.19
21.58,791.08
21.74,855.44
21.9,894.91
22.06,1043.76
22.22,879.39
22.38,810.36
22.54,822.81
22.7,793.39
22.86,794.66
23.02,844.26
23.18,837.63
23.34,826.79
23.5,777.07
23.66,782.89
23.82,813.66
23.98,822.66
24.14,825.64
24.3,819.73
24.46,828.9
24.62,828.17
24.78,827.09
24.94,826.82
25.1,823.49
25.26,828.22
25.42,830.51
25.58,828.91
25.74,827.58
25.9,826.87
26.06,829.72
26.22,826.27
26.38,806.63
26.54,797.83
26.7,794.83
26.86,805.98
27.02,813
27.18,830.27
27.34,806.2
27.5,873.47
27.66,812.72
27.82,809.24
27.98,810.39
28.14,853.42
28.3,838.45
28.46,925.21
28.62,957.34
28.78,903.67
28.94,805.21
29.1,817.49
29.26,798.17
29.42,799.17
29.58,846.21
29.74,848.88
29.9,797.27
30.06,780.99
30.22,797.84
30.38,817.2
30.54,818.19
30.7,820.48
30.86,822.6
31.02,826.97
31.18,827.02
31.34,828
31.5,827.66
31.66,828.08
31.82,827.75
31.98,828.26
32.14,827.65
32.3,827.25
32.46,828.37
32.62,825.97
32.78,823.91
32.94,821.22
33.1,821.42
33.26,800.76
33.42,823.31
33.58,792.56
33.74,744.04
33.9,830.33
34.06,845.85
34.22,813.86
34.38,873.87
34.54,781.18
34.7,849.31
34.86,860.38
35.02,877.28
35.18,969.46
35.34,902.25
35.5,833.19
35.66,829.53
35.82,813.15
35.98,822.22
36.14,841.66
36.3,852.21
36.46,794.36
36.62,767.28
36.78,776.88
36.94,798.8
37.1,823.81
37.26,828.1
