time,force
0.14,827.83
0.3,827.83
0.46,827.83
0.62,827.83
0.78,827.83
0.94,827.83
1.1,827.83
1.26,1159.6
1.42,496.05
1.58,827.83
1.74,827.83
1.9,827.83
2.06,827.83
2.22,827.83
2.38,827.83
2.54,828.95
2.7,827.51
2.86,827.54
3.02,827.1
3.18,827.56
3.34,827.84
3.5,827.51
3.66,828.25
3.82,828.43
3.98,827.56
4.14,827.54
4.3,827.69
4.46,828.15
4.62,827.85
4.78,827.68
4.94,827.94
5.1,827.96
5.26,828.17
5.42,827.61
5.58,827.74
5.74,827.37
5.9,827.37
6.06,828.06
6.22,828.47
6.38,827.54
6.54,828.22
6.7,826.95
6.86,828.22
7.02,824.7
7.18,832.91
7.34,827.36
7.5,828.47
7.66,848.34
7.82,803.9
7.98,828.59
8.14,808.4
8.3,848.97
8.46,820.34
8.62,836.32
8.78,847.34
8.94,813.97
9.1,812.67
9.26,836.98
9.42,827.89
9.58,831.99
9.74,799.33
9.9,872.87
10.06,815.55
10.22,828.52
10.38,801.47
10.54,835.71
10.7,827.51
10.86,840.58
11.02,844.08
11.18,802.14
11.34,839.32
11.5,824.85
11.66,818.52
11.82,815.4
11.98,844.64
12.14,821.6
12.3,821.71
12.46,843.45
12.62,825.31
12.78,827.36
12.94,826.06
13.1,828.53
13.26,829.45
13.42,827.53
13.58,829.65
13.74,827.02
13.9,827.78
14.06,830.75
14.22,827.38
14.38,827.33
14.54,826.05
14.7,827.66
14.86,828.99
15.02,826.27
15.18,825.48
15.34,830.03
15.5,827.15
15.66,826.23
15.82,828.18
15.98,829.19
16.14,829.04
16.3,827.86
16.46,828.04
16.62,827.29
16.78,826.93
16.94,827.81
17.1,828.24
17.26,827.99
17.42,827.54
17.58,827.12
17.74,828.71
17.9,827.58
18.06,827.64
18.22,828.09
18.38,827.91
18.54,828.08
18.7,828.05
18.86,828.04
19.02,829.9
19.18,821.82
19.34,832.04
19.5,827.85
19.66,826.98
19.82,827.7
19.98,829.89
20.14,827.97
20.3,826.77
20.46,826.55
20.62,826.91
20.78,828
20.94,827.91
21.1,828.78
21.26,828.26
21.42,827.12
21.58,828.78
21.74,827.33
21.9,828.06
22.06,826.63
22.22,828.1
22.38,827.83
22.54,825.99
22.7,825.32
22.86,834.11
23.02,825.9
23.18,827.32
23.34,827.57
23.5,829.64
23.66,827.81
23.82,827.84
23.98,827.98
24.14,827.7
24.3,829.06
24.46,829.21
24.62,832.16
24.78,825.16
24.94,597.6
25.1,696.18
25.26,809.13
25.42,846.29
25.58,1165.02
25.74,1228.56
25.9,835.89
26.06,814.85
26.22,606.53
26.38,699.71
26.54,811.24
26.7,816.93
26.86,828.55
27.02,825.58
27.18,829.45
27.34,829.15
27.5,827.17
27.66,827.4
27.82,828.89
27.98,751.33
28.14,537.21
28.3,801
28.46,814.27
28.62,959.25
28.78,1402.83
28.94,1019.07
29.1,736.47
29.26,746.3
29.42,530.93
29.58,804.34
29.74,829.1
29.9,827.95
30.06,828.4
30.22,829.89
30.38,823.98
30.54,829.26
30.7,828.74
30.86,831.43
31.02,780.41
31.18,396.17
31.34,931.75
31.5,779.55
31.66,999.84
31.82,1321.76
31.98,1082.32
32.14,758.67
32.3,752.88
32.46,499.64
32.62,813.4
32.78,808.12
32.94,829.74
33.1,834.17
33.26,829.92
33.42,825.86
33.58,821.85
33.74,828.72
33.9,829.75
34.06,834.66
34.22,720.07
34.38,560.58
34.54,721.82
34.7,826.06
34.86,1120.19
35.02,1427.8
35.18,960.56
35.34,701.12
35.5,607.94
35.66,632.57
35.82,829.42
35.98,826.04
36.14,813.05
36.3,829.22
36.46,833.77
36.62,829.17
36.78,827.32
36.94,828.45
37.1,809.33
37.26,559.47
37.42,653.74
37.58,868.16
37.74,935.76
37.9,1373.9
38.06,1105.74
38.22,820.03
38.38,567.79
38.54,583.61
38.7,825.78
38.86,837.05
39.02,820.12
39.18,827.17
39.34,828.99
39.5,829
39.66,827.07
39.82,828.55
39.98,826.78
40.14,828.52
40.3,761.59
40.46,362.05
40.62,926.45
40.78,771.74
40.94,1195.18
41.1,1432.48
41.26,861.88
41.42,839.1
41.58,360
41.74,827.26
41.9,769.26
42.06,827.04
42.22,825.52
42.38,829.33
42.54,828.34
42.7,828.37
42.86,827.72
43.02,827.77
43.18,827.17
43.34,827.32
43.5,829.43
43.66,815.97
43.82,541.46
43.98,707.99
44.14,815.91
44.3,825.36
44.46,1347.6
44.62,1213.48
44.78,826.96
44.94,805.8
45.1,466.59
45.26,748.7
45.42,811.89
45.58,830.2
45.74,827.84
45.9,830.74
46.06,827.71
46.22,828.32
46.38,826.8
46.54,827.52
46.7,828.59
46.86,827.67
47.02,676.63
47.18,560.79
47.34,803.28
47.5,797.92
