time,force
0,827.83
0.02,827.83
0.04,827.83
0.06,827.83
0.08,827.83
0.1,827.83
0.12,827.83
0.14,827.83
0.16,827.83
0.18,827.83
0.2,827.83
0.22,827.83
0.24,827.83
0.26,827.83
0.28,827.83
0.3,827.83
0.32,827.83
0.34,827.83
0.36,827.83
0.38,827.83
0.4,827.83
0.42,827.83
0.44,827.83
0.46,827.83
0.48,827.83
0.5,827.83
0.52,827.83
0.54,827.83
0.56,827.83
0.58,827.83
0.6,827.83
0.62,827.83
0.64,827.83
0.66,827.83
0.68,827.83
0.7,827.83
0.72,827.83
0.74,827.83
0.76,827.83
0.78,827.83
0.8,827.83
0.82,827.83
0.84,827.83
0.86,827.83
0.88,827.83
0.9,827.83
0.92,827.83
0.94,827.83
0.96,827.83
0.98,827.83
1,827.83
1.02,827.83
1.04,827.83
1.06,827.83
1.08,827.83
1.1,827.83
1.12,827.83
1.14,17515.34
1.16,-15853.51
1.18,825.51
1.2,828.03
1.22,827.15
1.24,808.31
1.26,823.18
1.28,841.64
1.3,828.66
1.32,828.13
1.34,822.05
1.36,817.88
1.38,842.7
1.4,828.38
1.42,826.59
1.44,825.14
1.46,818.86
1.48,838.03
1.5,827.88
1.52,829.23
1.54,827.32
1.56,822.45
1.58,836.19
1.6,828.2
1.62,827.15
1.64,824.89
1.66,819.89
1.68,838.23
1.7,828.66
1.72,828.35
1.74,826.47
1.76,825.11
1.78,833.81
1.8,830.21
1.82,824.76
1.84,827.47
1.86,829.28
1.88,830.06
1.9,829.18
1.92,827.83
1.94,825.01
1.96,825.79
1.98,830.61
2,828.23
2.02,828.3
2.04,826.44
2.06,828.05
2.08,828.91
2.1,827.52
2.12,827.73
2.14,827.22
2.16,827.5
2.18,827.98
2.2,828.23
2.22,828.08
2.24,827.27
2.26,827.3
2.28,828.08
2.3,827.5
2.32,827.9
2.34,828.23
2.36,829.38
2.38,826.62
2.4,828.15
2.42,827.9
2.44,828.66
2.46,830.77
2.48,825.31
2.5,827.55
2.52,827.68
2.54,826.72
2.56,826.44
2.58,828.08
2.6,827.47
2.62,828.6
2.64,828.73
2.66,830.34
2.68,825.99
2.7,826.49
2.72,826.52
2.74,826.92
2.76,827.35
2.78,830.54
2.8,828.35
2.82,828.28
2.84,825.97
2.86,825.72
2.88,831.62
2.9,827.73
2.92,827.07
2.94,826.8
2.96,825.34
2.98,830.99
3,828.63
3.02,827.95
3.04,826.12
3.06,823.23
3.08,831.04
3.1,828.81
3.12,827.9
3.14,827.93
3.16,828.58
3.18,829.89
3.2,827.65
3.22,826.62
3.24,826.57
3.26,822.85
3.28,831.59
3.3,829.31
3.32,827.73
3.34,826.39
3.36,825.79
3.38,832.37
3.4,828.93
3.42,828.08
3.44,826.37
3.46,825.26
3.48,829.06
3.5,828.3
3.52,828.66
3.54,827.12
3.56,823.98
3.58,830.46
3.6,827.63
3.62,827.25
3.64,826.52
3.66,824.94
3.68,835.61
3.7,827.8
3.72,827.83
3.74,827.83
3.76,827.83
3.78,827.83
3.8,827.83
3.82,827.83
3.84,827.83
3.86,827.83
3.88,827.83
3.9,827.83
3.92,827.83
3.94,827.83
3.96,827.83
3.98,827.83
4,827.83
4.02,827.83
4.04,827.83
4.06,827.83
4.08,827.83
4.1,827.83
4.12,827.83
4.14,827.83
4.16,827.83
4.18,827.83
4.2,827.83
4.22,827.83
4.24,827.83
4.26,827.83
4.28,827.83
4.3,827.83
4.32,827.83
4.34,827.83
4.36,827.83
4.38,827.83
4.4,827.83
4.42,827.83
4.44,827.83
4.46,827.83
4.48,827.83
4.5,827.83
4.52,827.83
4.54,827.83
4.56,827.83
4.58,827.83
4.6,827.83
4.62,827.83
4.64,827.83
4.66,827.83
4.68,827.83
4.7,827.83
4.72,827.83
4.74,827.83
4.76,827.83
4.78,827.83
4.8,827.83
4.82,827.83
4.84,827.83
4.86,827.83
4.88,827.83
4.9,827.83
4.92,827.83
4.94,827.83
4.96,827.83
4.98,827.83
5,827.83
5.02,827.83
5.04,827.83
5.06,827.83
5.08,827.83
5.1,827.83
5.12,827.83
5.14,827.83
5.16,827.83
5.18,827.83
5.2,827.83
5.22,827.83
5.24,827.83
5.26,827.83
5.28,827.83
5.3,827.83
5.32,827.83
5.34,827.83
5.36,827.83
5.38,827.83
5.4,827.83
5.42,827.83
5.44,827.83
5.46,827.83
5.48,827.83
5.5,827.83
5.52,827.83
5.54,827.83
5.56,827.83
5.58,827.83
5.6,827.83
5.62,827.83
5.64,827.83
5.66,827.83
5.68,827.83
5.7,827.83
5.72,827.83
5.74,827.83
5.76,827.83
5.78,827.83
5.8,827.83
5.82,827.83
5.84,827.27
5.86,829.46
5.88,826.57
5.9,827
5.92,827.42
5.94,827.05
5.96,826.42
5.98,830.09
6,827.73
6.02,828.23
6.04,827.95
6.06,827.2
6.08,828.6
6.1,827.8
6.12,827.68
6.14,827.47
6.16,825.72
6.18,829.81
6.2,828.71
6.22,828.23
6.24,827.8
6.26,827.42
6.28,828
6.3,827.12
6.32,826.92
6.34,827.45
6.36,827.6
6.38,831.27
6.4,828.13
6.42,826.04
6.44,826.87
6.46,825.72
6.48,830.04
6.5,827.98
6.52,828.13
6.54,828.43
6.56,827.3
6.58,828.76
6.6,828.08
6.62,827.55
6.64,827.52
6.66,828.2
6.68,826.8
6.7,828.73
6.72,828.4
6.74,827.73
6.76,827.68
6.78,827.83
6.8,827.85
6.82,827.78
6.84,827.68
