Time (seconds),Value
7.47,23.32
7.66,52.42
7.83,71.97
8.0,80.23
8.16,80.29
8.33,81.62
8.49,85.51
8.66,86.07
8.83,84.37
8.99,85.51
9.16,83.47
9.31,85.4
9.49,84.27
9.66,84.86
9.82,84.65
9.99,84.72
10.15,84.48
10.34,84.32
10.51,84.69
10.67,84.73
10.84,84.52
11.01,84.5
11.18,84.67
11.37,84.7
11.54,84.63
11.71,84.55
11.87,84.38
12.04,84.87
12.21,84.48
12.36,84.66
12.53,84.57
12.69,84.57
12.86,84.91
13.02,84.24
13.18,82.35
13.34,84.16
13.5,83.17
13.66,83.44
13.81,84.73
13.97,84.76
14.15,84.56
14.3,84.42
14.49,84.61
14.79,84.5
14.97,84.62
15.14,84.61
15.32,84.56
15.48,84.51
15.64,84.59
15.84,84.56
16.02,84.52
16.2,84.59
16.38,84.56
16.56,84.61
16.72,84.71
16.91,84.6
17.07,84.62
17.24,84.59
17.42,84.63
17.57,84.62
17.74,84.57
17.9,84.56
18.07,84.6
18.25,84.7
18.41,84.66
18.58,84.38
18.75,84.71
18.93,84.83
19.1,84.59
19.27,81.68
19.43,77.71
19.61,79.52
19.77,80.37
19.93,82.83
20.12,81.95
20.28,86.49
20.44,92.95
20.61,99.6
20.77,103.46
20.93,101.68
21.1,95.16
21.32,77.28
21.48,75.38
21.65,77.34
21.81,79.27
21.98,81.48
22.14,82.63
22.31,85.56
22.48,84.64
22.65,84.39
22.81,84.2
23.0,84.77
23.16,84.58
23.32,84.71
23.49,84.48
23.67,74.08
23.82,72.61
24.01,74.89
24.17,77.4
24.36,81.58
24.53,88.08
24.69,90.85
24.84,94.0
25.01,98.74
25.17,105.35
25.35,107.04
25.52,81.53
25.71,80.47
25.87,76.81
26.07,72.89
26.28,84.6
26.44,86.07
26.62,84.26
26.79,84.51
26.96,85.07
27.13,84.52
27.31,82.49
27.47,81.61
27.63,72.42
27.79,69.86
27.96,72.15
28.16,91.82
28.32,90.78
28.48,93.75
28.64,96.28
28.8,99.58
29.01,84.58
29.16,80.43
29.33,78.81
29.49,77.06
29.65,74.19
29.82,77.49
29.99,79.1
30.15,84.76
30.34,84.4
30.49,85.05
30.66,83.78
30.82,85.44
30.99,74.78
31.16,72.33
31.33,77.4
31.49,77.97
31.65,79.96
31.82,93.41
31.97,96.88
32.14,98.62
32.3,99.01
32.47,100.2
32.68,81.63
32.85,78.12
33.01,79.37
33.17,75.7
33.33,71.01
33.49,75.22
33.65,85.01
33.8,84.88
33.96,84.59
34.13,85.35
34.29,83.57
34.45,74.79
34.61,75.14
34.78,83.94
34.94,85.01
35.11,86.5
35.26,92.32
35.44,93.11
35.67,98.05
35.83,89.7
35.99,86.0
36.16,85.97
36.32,82.85
