Time (seconds),Value
3.23,36.53
3.41,52.62
3.58,65.46
3.76,74.22
3.93,83.36
4.09,80.51
4.27,92.48
4.43,84.33
4.6,84.21
4.78,84.34
4.95,84.52
5.11,84.6
5.29,85.15
5.45,84.56
5.63,84.82
5.81,85.17
6.03,84.78
6.22,84.94
6.4,85.08
6.57,85.03
6.74,85.09
6.9,85.06
7.07,85.03
7.25,85.07
7.43,84.92
7.63,84.96
7.82,85.03
7.99,84.99
8.16,85.05
8.33,84.99
8.51,84.94
8.7,84.95
8.87,85.12
9.03,85.16
9.22,84.98
9.4,85.01
9.69,84.94
9.86,84.96
10.05,84.96
10.22,85.0
10.38,85.08
10.55,84.88
10.72,85.02
10.89,85.05
11.05,85.06
11.22,84.96
11.41,85.08
11.6,85.07
11.81,84.91
11.97,85.13
12.14,85.23
12.32,85.33
12.49,84.07
12.66,84.01
12.84,85.08
13.01,85.69
13.18,86.07
13.35,85.0
13.51,85.79
13.68,84.1
13.88,79.55
14.05,83.88
14.22,87.54
14.4,85.21
14.57,83.63
14.74,84.56
14.91,84.95
15.08,85.08
15.25,85.06
15.43,85.01
15.61,85.06
15.79,85.04
15.97,85.02
16.14,84.97
16.32,85.03
16.5,85.13
16.66,84.96
16.84,85.02
17.0,85.04
17.17,85.1
17.34,85.12
17.51,84.86
17.68,85.18
17.85,85.72
18.02,85.81
18.2,83.03
18.38,85.8
18.54,85.11
18.71,85.01
18.89,85.07
19.05,85.35
19.23,86.04
19.39,84.9
19.56,84.92
19.73,85.07
19.92,85.07
20.08,85.13
20.25,85.06
20.42,84.98
20.6,84.88
20.77,85.08
20.94,84.69
21.2,84.96
21.38,85.02
21.54,85.09
21.71,85.03
21.88,84.9
22.05,85.06
22.21,85.02
22.4,85.03
23.09,85.07
23.27,85.08
23.45,84.75
23.63,84.89
23.79,84.99
23.97,85.01
24.15,85.02
24.32,84.84
24.54,84.9
24.72,84.95
24.9,84.83
25.09,85.05
25.26,84.97
25.43,84.99
25.7,85.16
25.88,84.59
26.05,84.74
26.23,84.77
26.4,85.01
26.58,84.99
26.75,85.16
26.91,85.19
27.09,83.06
27.25,82.59
27.43,83.81
27.59,84.04
27.77,84.02
27.94,84.22
28.37,85.02
28.54,85.21
28.72,83.42
28.9,83.26
29.06,83.49
29.24,85.99
29.41,89.28
29.59,89.44
29.76,87.29
29.93,82.77
30.1,84.46
30.27,82.32
30.45,84.09
30.61,82.89
30.78,82.73
30.96,81.66
31.13,79.83
31.36,84.35
31.54,85.12
31.7,85.19
31.88,84.89
32.05,85.09
32.24,85.02
32.43,84.08
32.6,85.72
32.76,84.78
32.94,85.1
33.11,84.94
33.28,85.09
33.51,84.95
33.67,84.75
33.84,83.64
34.01,82.08
34.17,80.43
34.33,79.03
34.51,83.99
34.68,85.88
34.85,85.62
35.02,85.89
35.2,86.46
35.45,86.53
35.65,86.9
35.83,89.02
35.99,91.62
36.17,92.74
36.35,84.67
36.52,82.51
36.7,81.26
36.87,83.78
37.03,82.65
37.2,83.11
37.37,81.42
37.56,82.27
37.74,83.81
37.91,83.01
38.08,83.48
38.26,85.48
38.49,85.13
38.67,84.91
38.83,85.05
39.01,85.04
39.18,84.86
39.35,84.9
39.52,84.92
39.7,84.92
39.86,84.96
40.03,84.89
40.19,84.61
40.39,84.48
40.57,83.07
40.73,81.66
40.89,80.79
41.07,79.28
41.24,83.47
41.4,84.52
41.59,85.5
41.78,86.9
41.95,84.67
42.11,86.81
42.3,88.55
42.49,90.01
42.66,92.36
42.84,97.34
43.01,85.35
43.17,86.5
43.35,85.87
43.53,84.51
43.7,84.51
43.87,79.86
44.04,78.54
44.2,79.72
44.36,81.72
44.56,82.59
44.76,85.17
44.94,84.99
45.12,84.98
45.28,85.01
45.46,84.99
45.69,84.88
45.87,84.82
46.04,85.11
46.21,84.95
46.38,84.99
46.56,85.07
46.73,85.1
46.89,84.57
47.07,84.88
47.24,81.23
47.41,77.49
47.58,77.37
47.75,79.39
47.92,80.36
48.09,86.64
48.26,86.89
48.46,85.75
48.64,84.87
48.82,85.44
49.0,93.14
49.17,93.68
49.34,96.47
49.55,95.33
49.76,83.87
49.92,83.1
50.1,81.47
50.26,82.91
50.43,81.92
50.63,81.96
50.81,81.38
50.98,86.17
51.15,86.35
51.31,83.79
51.49,84.54
51.66,85.19
51.84,84.99
52.02,85.11
52.2,85.15
52.36,84.94
52.55,84.83
52.72,84.95
52.89,84.79
53.06,84.79
53.23,84.97
53.43,84.97
53.6,85.39
53.78,84.59
53.96,85.0
54.12,85.07
54.29,84.66
54.47,79.98
54.64,80.13
54.81,82.08
54.98,84.42
55.15,85.25
55.36,85.6
55.52,86.7
55.68,88.34
55.86,86.66
56.02,86.29
56.24,89.74
56.4,92.76
56.59,93.28
56.76,92.72
56.93,90.49
57.1,87.39
57.27,84.33
57.44,83.26
57.63,84.09
57.81,83.76
57.97,83.86
58.63,84.48
58.8,84.42
58.96,84.97
59.14,84.93
59.31,84.93
59.48,85.06
59.67,85.05
59.85,84.89
60.03,84.95
60.2,84.91
60.36,85.01
60.54,84.81
60.73,84.9
60.9,84.94
61.07,85.1
61.63,85.07
61.8,80.05
61.97,79.9
62.14,80.83
62.32,86.13
62.48,86.51
62.65,85.21
62.82,85.78
62.99,87.27
63.17,87.16
63.33,85.64
63.52,88.04
63.68,87.9
63.85,88.92
64.01,90.23
64.18,94.01
64.4,87.09
64.57,85.25
64.74,83.82
64.91,81.78
65.14,78.7
65.31,77.49
65.47,78.38
65.65,79.72
65.81,89.57
65.99,83.55
66.16,85.15
66.34,85.03
66.52,85.08
66.69,84.98
66.88,85.01
67.05,84.99
67.22,84.84
67.49,84.84
67.65,85.06
67.82,84.83
67.99,84.91
68.17,84.97
68.34,85.04
68.51,84.88
68.69,85.1
68.86,79.45
69.04,82.34
69.2,82.03
69.39,80.49
69.55,81.49
69.79,85.41
69.96,84.96
70.13,85.72
70.31,87.3
70.48,87.47
70.66,87.73
70.84,88.69
71.02,91.83
71.2,97.47
71.36,98.03
71.53,85.09
71.71,84.16
71.87,82.38
72.04,82.92
72.2,82.48
72.38,78.73
72.55,78.98
72.73,79.4
72.91,85.54
73.09,86.35
73.27,85.09
73.44,84.92
73.63,84.9
73.8,84.93
73.96,84.98
74.12,85.01
74.3,84.67
74.51,84.86
74.67,84.72
74.85,84.58
75.03,85.01
75.2,84.75
75.36,78.21
75.55,83.26
75.73,83.92
75.93,85.72
76.32,87.47
76.48,84.75
76.66,86.12
76.83,85.86
77.0,87.17
77.16,89.78
77.35,95.08
77.53,95.59
77.71,93.26
77.88,85.8
78.06,83.51
78.24,82.54
78.41,84.58
78.57,85.39
78.74,82.45
78.93,81.54
79.11,88.03
79.29,84.39
79.48,85.01
79.65,85.44
79.83,84.74
80.1,85.03
80.27,85.01
80.45,85.2
80.62,84.86
80.79,84.94
80.96,85.04
81.12,85.05
81.29,84.89
81.45,85.03
81.62,84.95
81.8,84.92
82.0,84.46
82.17,80.54
82.34,80.25
82.51,79.52
82.69,80.01
82.86,84.96
83.02,84.1
83.18,84.79
83.36,85.57
83.55,86.31
83.73,86.86
83.9,86.72
84.07,87.65
84.23,91.01
84.4,92.35
84.62,83.22
84.78,83.17
84.96,82.52
85.13,82.25
85.29,81.93
85.48,83.4
85.64,84.21
85.82,84.61
86.0,84.44
86.17,83.92
86.36,88.22
86.53,85.76
86.69,83.93
86.86,85.65
87.03,84.42
87.2,84.96
87.38,85.04
87.55,84.97
87.72,85.08
87.9,84.81
88.08,84.97
88.25,84.99
88.41,84.92
88.59,84.99
88.77,84.98
88.98,84.83
89.15,76.81
89.33,84.05
89.49,82.0
89.67,80.32
89.85,86.38
90.04,89.08
90.21,87.88
90.38,85.78
90.54,84.97
90.72,86.89
90.89,86.59
91.06,85.15
91.23,84.98
91.4,88.18
91.57,91.64
91.74,87.49
91.91,83.49
92.09,81.69
92.26,83.67
92.46,86.58
92.63,85.25
92.8,84.19
